Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating
Watch Dogs 2,Ubisoft Montreal,"Shooter, Adventure, Action, Science Fiction, Stealth, Sandbox","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,19.5,31.5,46.5,56.94,1,1,$49.99,$2.56,$1.59,$1.08,15/11/2016,15,11,2016,Watch Dogs,0.3424657534,8.35,7.93
Watch Dogs: Legion,Ubisoft Toronto,"Shooter, RPG, Adventure, Action, Science Fiction, Stealth","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,18,33,50,23.76,1,1,$59.99,$3.33,$1.82,$1.20,29/10/2020,29,10,2020,Watch Dogs,0.7575757576,7.80,6.23
God of War(2005),SCE Santa Monica Studio,"Puzzle, Hack and slash/Beat 'em up, Adventure, Action, Fantasy, Historical",Single player,No,No,No,Third Person,Playstation 2,1,9,10,13,NA,0,1,$49.99,$5.55,$5.00,$3.85,22/03/2005,22,3,2005,God of War,NA,9.60,8.80
God of War(2018),SIE Santa Monica Studios,"RPG, Adventure, Hack and slash/Beat 'em up, Action, Historical, Fantasy",Single player,No,No,No,Third Person,"PC, Playstation 4",2,20.5,33,51,NA,0,1,$59.99,$2.93,$1.82,$1.18,20/04/2018,20,4,2018,God of War,NA,9.70,9.45
God of War Ragnarök,SIE Santa Monica Studios,"RPG, Adventure, Hack and slash/Beat 'em up, Action, Historical, Fantasy",Single player,No,Yes,Yes,Third Person,"PC, Playstation 4/5",3,26.5,33.5,50.5,NA,0,0,$59.99,$2.26,$1.79,$1.19,9/11/2025,9,11,2025,God of War,NA,9.70,9.03
Marvel's Spiderman 2,Insomniac Games,"Hack and slash/Beat 'em up, Adventure, Superhero, Action, Stealth",Single player,Yes,Yes,Yes,Third Person,"PC, Playstation 4/5",3,17,23.5,28.5,12,1,0,$69.99,$4.12,$2.98,$2.46,20/10/2023,20,10,2023,Marvel's Spiderman,1.416666667,8.50,8.43
Marvel's Spider-Man: Miles Morales,Insomniac Games,"Hack and slash/Beat 'em up, Adventure, Superhero, Action, Stealth",Single player,Yes,Yes,Yes,Third Person,"PC, Playstation 4/5",3,7.5,12.5,18.5,2,1,0,$49.99,$6.67,$4.00,$2.70,12/11/2020,12,11,2020,Marvel's Spiderman,3.75,8.75,8.20
The Last of Us,Naughty Dog,"Shooter, Adventure, Action, Survival, Stealth, Horror","Single player, Multiplayer",No,No,No,Third Person,Playstation 3,1,15.5,17.5,22.5,NA,0,1,$59.99,$3.87,$3.43,$2.67,14/06/2013,14,6,2013,The Last of Us,NA,9.75,9.30
The Last of Us Part I,Naughty Dog,"Shooter, Adventure, Action, Survival, Stealth, Horror",Single player,No,No,No,Third Person,"PC, Playstation 5",2,14.5,18,24.5,NA,0,0,$69.99,$4.83,$3.89,$2.86,2/9/2022,2,9,2022,The Last of Us,NA,8.95,8.98
The Last of Us Part II,Naughty Dog,"Shooter, Adventure, Action, Survival, Stealth, Horror",Single player,No,Yes,No,Third Person,Playstation 4/5,2,24,29.5,43.5,NA,0,1,$59.99,$2.50,$2.03,$1.38,19/06/2020,19,6,2020,The Last of Us,NA,9.65,8.18
Batman: Arkham City,Rocksteady Studios,"Hack and slash/Beat 'em up, Adventure, Superhero, Action, Stealth",Single player,No,No,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,12.5,21.5,45.5,0.172,1,1,$59.99,$4.80,$2.79,$1.32,18/10/2011,18,10,2011,Batman,72.6744186,9.45,9.23
Grand Theft Auto III,"DMA Design, TransGaming Inc.","Shooter, Arcade, Action",Single player,Limited,Yes,Yes,Third Person,"Android, iOS, Mac, PC, Playstation 2, Xbox",6,14,20.5,36.5,8.12,1,1,$49.95,$3.57,$2.44,$1.37,22/10/2001,22,10,2001,Grand Theft Auto ,1.724137931,9.65,7.78
The Witcher 3: Wild Hunt,CD Projekt Red,"RPG, Adventure, Action, Fantasy",Single player,Yes,No,Yes,Third Person,"Nintendo Switch, PC, Playstation 4/5, Xbox One/Series XIS",6,51.5,103,175,142,1,1,$59.99,$1.16,$0.58,$0.34,19/05/2015,19,5,2015,The Witcher,0.3626760563,9.25,9.53
Uncharted 4: A Thief's End,Naughty Dog,"Shooter, Adventure, Action, Fantasy, Historical, Stealth","Single player, Multiplayer",No,Yes,No,Third Person,Playstation 4,1,15,18,31.5,NA,0,0,$59.99,$4.00,$3.33,$1.90,10/5/2016,10,5,2016,Uncharted,NA,9.15,9.05
Detriot: Become Human,Quantic Dream,"Puzzle, Adventure, Action, Science Fiction, Thriller, Drama, Mystery",Single player ,No,No,No,Third Person,"PC, Playstation 4",2,12,16,32,NA,0,1,$59.99,$5.00,$3.75,$1.87,25/05/2018,25,5,2018,NA,NA,7.90,8.78
The Witcher 2: Assassins of Kings,CD Projekt Red,"RPG, Adventure, Action, Fantasy",Single player ,Limited,Yes,No,Third Person,"PC, Xbox 360",2,24,34.5,56.5,NA,0,1,$29.99,$1.25,$0.87,$0.53,17/05/2011,17,5,2011,The Witcher,NA,8.90,8.60
Beyond: Two Souls,Quantic Dream,"Adventure, Action, Science fiction, Thriller, Drama","Single player, Multiplayer, Co-operative",No,No,No,Third Person,"PC, Playstation 3/4",3,10.5,12.5,27.5,NA,0,0,$59.99,$5.71,$4.80,$2.18,8/10/2013,8,10,2013,NA,NA,6.50,8.15
Assassin's Creed Unity,Ubisoft Montreal,"Action, RPG, Stealth, Parkour, Historical","Single player, Multiplayer, Co-operative",No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,17,35,80,2.4,1,0,$59.99,$3.53,$1.71,$0.75,11/11/2014,11,11,2014,Assassins Creed,7.083333333,7.50,6.78
The Quiet Man,Human Head Studios,"Hack and slash/Beat 'em up, Action",Single player,No,No,No,Third Person,"PC, Playstation 4",2,3,5.5,6,NA,0,1,$14.99,$5.00,$2.73,$2.50,1/11/2018,1,11,2018,NA,NA,4.15,2.55
Fallout 76,Bethesda Game Studios,"Shooter, RPG, Action, Science fiction, Survival","Multiplayer, Co-operative, Massively Multiplayer Online(MMO)",Limited,Yes,Yes,"First Person, Third Person","PC, Playstation 4",2,35.5,115,298,41.4,1,0,$59.99,$1.69,$0.52,$0.20,14/11/2018,14,11,2018,Fallout,0.8574879227,6.10,5.15
Left Alive,"Square Enix, lIinx Corporation","Shooter, Action, Science fiction, Survival, Stealth, Warfare",Single player,No,No,No,Third Person,"PC, Playstation 4",2,12.5,20,38,NA,0,0,$59.99,$4.80,$3.00,$1.58,28/02/2019,28,2,2019,Front Mission,NA,3.75,5.13
Assassin's Creed Syndicate,Ubisoft Québec,"Action, RPG, Stealth, Parkour, Historical",Single player,No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,19,33.5,55.5,3.7,1,0,$59.99,$3.16,$1.79,$1.08,23/10/2015,23,10,2015,Assassins Creed,5.135135135,7.90,7.23
Days Gone,Bend Studio,"Shooter, Adventure, Action, Horror, Survival, Sandbox",Single player,Limited,No,Yes,Third Person,"PC, Playstation 4",2,36.5,50.5,65.5,30,1,0,$59.99,$1.64,$1.19,$0.92,26/04/2019,26,4,2019,Days Gone,1.216666667,6.80,8.45
Dying Light 2: Stay Human,"Techland, Techland Publishing","RPG, Adventure, Action, Horror, Survival","Single player, Multiplayer, Co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,24.5,49,103,124,1,0,$59.99,$2.45,$1.22,$0.58,3/2/2022,3,2,2022,Dying Light,0.1975806452,7.30,7.20
Dead Island 2,Deep Silver Dambuster Studios,"Shooter, RPG, Hack and slash/Beat 'em up, Adventure, Action, Horror, Survival, Comedy","Single player, Multiplayer, Co-operative",No,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,16,26.5,38.5,NA,0,0,$69.99,$4.37,$2.64,$1.82,21/04/2023,21,4,2023,Dead Island,NA,7.15,7.13
Metroid: Other M,"D-Rockets, Team NINJA","Shooter, Platform, Action, Adventure, Science fiction",Single player,No,Yes,No,"First Person, Third Person","Wii, Wii U",2,9.5,11,13,NA,0,1,$49.99,$5.26,$4.54,$3.85,31/08/2010,31,8,2010,Metroid,NA,8.20,6.28
Heavy Rain,Quantic Dream,"Adventure, Action, Thriller, Drama, Mystery",Single player,No,No,No,"First Person, Third Person","PC, Playstation 3/4",3,10,12,22,NA,0,1,$59.99,$6.00,$5.00,$2.73,18/02/2010,18,2,2010,NA,NA,8.85,8.55
Ride to Hell: Retribution,"Deep Silver, Eutechnyx","Hack and slash/Beat 'em up, Action, Shooter, Adventure, Historical",Single player,No,No,Yes,First Person,"PC, Playstation 3, Xbox 360",3,9,10,17.5,NA,0,1,$29.99,$3.33,$3.00,$1.71,25/06/2013,25,6,2013,Ride to Hell,NA,0.95,2.23
Sonic the Hedgehog,Sonic Team,"Adventure, Action, Scienve fiction, Educational","Single player, Multiplayer",No,No,No,Third Person,"Playstation 3, Xbox 360",2,16,19.5,25,NA,0,1,$59.99,$3.75,$3.08,$2.40,14/11/2006,14,11,2006,Sonic the Hedgehog,NA,4.70,4.08
Agony,Madmind Studio,"Shooter, Adventure, Indie, Action, Horror, Survival",Single player,No,No,No,First Person,"PC, Playstation 4, Xbox One, Nintendo Switch",4,7.5,10.5,14,NA,0,1,$39.99,$5.33,$3.81,$2.86,29/05/2018,29,5,2018,Agony,NA,4.35,5.40
Duke Nukem Forever,"Triptych Games, Gearbox Software, 3D Realms, Piranha Games, Aspyr Media","Shooter, Adventure, Action, Science fiction, Comedy","Single player, Multiplayer",No,Yes,No,"First Person, Third Person","Mac, PC, Playstation 3, Xbox 360",4,9,12.5,22,NA,0,1,$59.99,$6.67,$4.80,$2.73,10/6/2011,10,6,2011,Duke Nukem,NA,5.20,5.43
Anthem,BioWare,"Shooter, RPG, Adventure, Action, Science Fiction","Multiplayer, Co-operative",No,No,No,Third Person,"PC, Playstation 4, Xbox One",3,14.5,28,56,NA,0,1,$59.99,$4.14,$2.14,$1.07,22/02/2019,22,2,2019,NA,NA,6.20,5.40
The Callisto Protocol,Striking Distance Studios,"Shooter, Adventure, Action, Science Fiction, Horror, Survival",Single player,No,No,No,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,10,12,15.5,NA,0,0,$69.99,$7.00,$5.83,$4.52,2/12/2022,2,12,2022,The Callisto Protocol,NA,6.95,6.70
Resident Evil 6,Capcom,"Shooter, Adventure, Action, Horror, Survival, Stealth","Single player, Multiplayer, Co-operative",Limited,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,21,27,52,NA,0,0,$59.99,$2.86,$2.22,$1.15,2/10/2012,2,10,2012,Resident Evil,NA,7.30,6.38
Devil May Cry 2,Capcom Production Studio 1,"Hack and slash/Beat 'em up, Adventure, Horror, Action",Single player,No,Yes,No,Third Person,Playstation 2,1,5,7,18.5,NA,0,0,$49.99,$10.00,$7.14,$2.70,25/01/2003,25,1,2003,Devil May Cry,NA,6.90,5.65
Alone in the Dark,Eden Games,"Shooter, Puzzle, Adventure, Action, Horror, Survival, Mystery",Single player,No,No,Semi,"First Person, Third Person","PC, Xbox 360",2,9,12.5,15.5,NA,0,1,$59.99,$6.67,$4.80,$3.87,20/06/2008,20,6,2008,Alone in the Dark,NA,2.90,5.50
Mass Effect: Andromeda,BiowWare Montréal,"Shooter, RPG, Adventure, Action, Science fiction","Single player, Multiplayer, Co-operative",Limited,Yes,Semi,Third Person,"PC, Playstation 4, Xbox One",3,18.5,63,94,NA,0,0,$59.99,$3.24,$0.95,$0.64,21/03/2017,21,3,2017,Mass Effect,NA,7.40,6.50
Resident Evil,Capcom Planning Room 2,"Adventure, Action, Horror, Survival",Single player,No,No,No,Third Person,"PC, Playstation",2,7,8.5,15,NA,0,1,$49.99,$7.14,$5.88,$3.33,22/03/1996,22,3,1996,Resident Evil,NA,8.90,8.60
Resident Evil 2,Capcom Planning Room 2,"Shooter, Adventure, Action, Horror, Survival",Single player,No,Yes,No,Third Person,"Dreamcast, Nintendo GameCube, PC, Playstation, Playstation, Playstation Portable",6,6,9.5,15.5,NA,0,1,$49.99,$8.33,$5.26,$3.23,21/01/1998,21,1,1998,Resident Evil,NA,7.60,8.80
Resident Evil 3: Nemesis,Capcom Planning Room 2,"Shooter, Adventure, Action, Horror, Survival, Puzz",Single player,Limited,Yes,No,Third Person,"Dreamcast, Nintendo GameCube, PC, Playstation, Playstation, Playstation Portable",6,7,8,13,NA,0,0,$49.99,$7.14,$6.25,$3.85,22/09/1999,22,9,1999,Resident Evil,NA,8.55,8.63
Resident Evil Code: Veronica,Nextech,"Shooter, Adventure, Action, Horror, Survival, Puzz","Single player, Multiplayer",No,Yes,No,Third Person,Dreamcast,1,11.5,14,17.5,NA,0,0,$49.99,$4.35,$3.57,$2.86,3/2/2000,3,2,2000,Resident Evil,NA,4.70,8.08
Resident Evil 4,Capcom Production Studio 4,"Shooter, Adventure, Action, Horror, Survival",Single player,Limited,Yes,No,Third Person,Nintendo GameCube,1,15.5,19.5,31.5,NA,0,1,$49.99,$3.23,$2.56,$1.59,11/1/2005,11,1,2005,Resident Evil,NA,9.65,9.23
Resident Evil 5,Capcom,"Shooter, Adventure, Action, Horror, Survival","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,12,17,35.5,NA,0,0,$59.99,$5.00,$3.53,$1.69,5/3/2009,5,3,2009,Resident Evil,NA,8.80,7.85
Resident Evil 7: Biohazard,Capcom,"Shooter, Adventure, Action, Horror, Survival, Puzzle",Single player,Limited,Yes,No,"First Person, Virtual Reality","Nintendo Switch 2, PC, Playstation 4/5, Xbox One",5,9.5,12,27.5,NA,0,1,$59.99,$6.31,$5.00,$2.18,24/1/2017,24,1,2017,Resident Evil,NA,8.15,8.55
Resident Evil Village,"Capcom Development, Division 1, Capcom","Shooter, Adventure, Action, Horror, Survival, Stealth",Single player,Limited,Yes,No,"First Person, Virtual Reality","Google Stadia, iOS, Mac, Nintendo Switch/Switch 2, PC, Playstation 4/5, Xbox One/Series XIS",10,10,13,38.5,NA,0,0,$59.99,$6.00,$4.61,$1.56,6/5/2021,6,5,2021,Resident Evil,NA,8.20,8.60
Agony Unrated,Madmind Studio,"Adventure, Indie, Horror, Survival, Action, Erotic",Single player,No,No,No,First Person,PC,1,7.5,10.5,14,NA,0,1,$49.99,$6.67,$4.76,$3.57,30/10/2018,30,10,2018,NA,NA,4.35,5.40
Postal III,Akella,"Shooter, Action, Comedy",Single player,No,Yes,No,First Person,PC,1,5.5,6.5,11,NA,0,1,$39.99,$7.27,$6.15,$3.64,23/11/2011,23,11,2011,Postal,NA,3.95,3.45
Sonic Boom: Rise of Lyric,Big Red Button,"Platform, Adventure, Action","Single player, Multiplayer",No,Yes,No,Third Person,Wii U,1,7.5,14.5,19.5,NA,0,1,$39.99,$5.33,$2.76,$2.05,11/11/2014,11,11,2014,Sonic Boom,NA,3.75,3.50
Aliens: Colonial Marines,Gearbox Software,"Shooter, Action, Science fiction, Horror","Single player, Multiplayer, Co-operative, Splitscreen",Limited,Yes,No,First Person,"PC, Playstation 3, Wii U, Xbox 360",4,7,9.5,22.5,NA,0,1,$59.99,$8.57,$6.31,$2.67,12/2/2013,12,2,2013,Alien,NA,4.90,4.85
E.T. The Extra Terrestrial,NewKidCo,"Adventure, Science fiction",Single player,No,No,No,Bird view/Isometric,Game Boy Advance,1,2.5,2.5,2.5,NA,0,1,$34.95,$13.98,$13.98,$13.98,14/12/2001,14,12,2001,NA,NA,4.05,2.58
Postal,Running With Scissors,"Shooter, Indie, Action","Single player, Multiplayer",No,No,No,Bird view/Isometric,"Linux, Mac, PC",3,2.5,3.5,13.5,NA,0,1,$49.99,$20.00,$14.28,$3.70,24/9/1997,24,9,1997,Postal,NA,2.80,7.20
Postal 2,Running With Scissors,"Shooter, Indie, Action, Adventure, Comedy",Single player,No,Yes,Yes,First Person,"Linux, Mac, PC",3,7,12.5,32,104,1,1,$49.99,$7.14,$4.00,$1.56,14/4/2003,14,4,2003,Postal,0.06730769231,5.25,8.25
Postal 4: No Regerts,Running With Scissors,"Shooter, Action, Adventure, Comedy, Horror, Sandbox",Single player,No,Yes,Yes,First Person,"PC, Playstation 4/5",3,11,15,20.5,256,1,0,$39.99,$3.64,$2.67,$1.95,20/4/2022,20,4,2022,Postal,0.04296875,2.55,5.78
Alien vs Predator,Rebellion Developments,"Shooter, Action, Science fiction, Horror, Survival","Single player, Multiplayer, Co-operative",Limited,No,No,First Person,"PC, Playstation 3, Xbox 360",3,8,12,24,NA,0,1,$59.99,$7.50,$5.00,$2.50,16/2/2010,16,2,2010,Aliens versus Predator,NA,7.45,7.43
Aliens: Fireteam Elite,Cold Iron Studios,"Shooter, RPG, Action, Science fiction","Single player, Multiplayer, Co-operative",Limited,Yes,No,Third Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,8.5,16,58.5,NA,0,0,$39.99,$4.70,$2.50,$0.68,23/8/2021,23,8,2021,NA,NA,6.95,6.88
Sonic Boom: Shattered Crystal,Sanzaru Games,"Platform, Action","Single player, Multiplayer",No,Yes,No,Third Person,Nintendo 3DS,1,10,11.5,16,NA,0,0,$39.99,$4.00,$3.48,$2.50,11/11/2014,11,11,2014,Sonic Boom,NA,4.35,5.38
Sonic Boom: Fire & Ice,Sanzaru Games,"Platform, Adventure, Action","Single player, Multiplayer",No,Yes,No,Side view,Nintendo 3DS,1,4.5,8,16,NA,0,0,$39.99,$8.89,$5.00,$2.50,27/9/2016,27,9,2016,Sonic Boom,NA,6.85,5.75
Mass Effect,"BioWare, BioWare Edmonton","Shooter, RPG, Action, Science fictiion, Romance",Single player,Yes,No,No,Third Person,"PC, Playstation 3, Xbox 360",3,17,27.5,42.5,NA,0,1,$59.99,$3.53,$2.18,$1.41,20/11/2007,20,11,2007,Mass Effect,NA,9.25,8.80
Mass Effect 2,"BioWare, BioWare Edmonton","Shooter, RPG, Action, Science fictiion, Adventure",Single player,Yes,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,24.5,35.5,50,NA,0,1,$59.99,$2.45,$1.69,$1.20,26/1/2010,26,1,2010,Mass Effect,NA,9.55,8.63
Mass Effect 3,"BioWare, BioWare Edmonton","Shooter, RPG, Action, Science fictiion, Adventure",Single player,Yes,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,24.5,36,50.5,NA,0,0,$59.99,$2.45,$1.67,$1.19,6/3/2012,6,3,2012,Mass Effect,NA,9.40,7.75
Saints Row: The Third,Volition,"Shooter, Racing, Adventure, Action, Comedy, Sandbox","Single player, Multiplayer, Co-operative",Yes,No,Yes,"Third Person, Side view","Linux, PC, Playstation 3, Xbox 360",4,15.5,27.5,45,5.69,1,1,$59.99,$3.87,$2.18,$1.33,15/11/2011,15,11,2011,Saints Row,2.724077329,8.45,8.10
Saints Row IV,"High Voltage Software, Volition","Shooter, Science fic, Adventure, Action, Comedy, Sandbox","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 3/4, Xbox 360/One",5,15.5,24.5,36.5,10,1,1,$59.99,$3.87,$2.45,$1.64,20/8/2013,20,8,2013,Saints Row,1.55,7.45,7.75
